Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
428,MARC'S UPPER ARLINGTON,COLUMBUS,1828 W HENDERSON RD,2,2,0,0,0,0,30,5,1
429,MAYA CAFE & HOOKAH,COLUMBUS,2367-69 N HIGH ST,8,1,0,0,0,0,12,10,0
430,MAZAJ HOOKAH LOUNGE,COLUMBUS,4223 ROBERTS RD,5,4,0,0,0,0,4,1,0
431,MCGUFFEY MARKET,COLUMBUS,1066 E HUDSON ST,6,0,0,0,0,0,0,20,1
432,MEADOWS CARRY OUT,COLUMBUS,5900 N MEADOWS BLVD,4,2,0,0,0,0,0,5,1
433,MEIJER GAS #104,COLUMBUS,1675 HILLIARD ROME RD,5,5,0,0,0,0,11,1,0
434,MEIJER GAS #114,COLUMBUS,5030 N HAMILTON RD,4,5,1,0,0,1,16,1,0
435,MEIJER GAS #212,REYNOLDSBURG,7930 E BROAD ST,7,4,2,0,1,0,5,1,0
436,MEIJER GAS STATION #58,DUBLIN,6155 SAWMILL RD,2,0,0,0,0,0,0,20,1
437,MEISTER'S BAR,COLUMBUS,1168 CHAMBERS RD,8,3,1,0,0,1,25,1,0
438,MI FAMILIA MARKET,COLUMBUS,2331 W BROAD ST,10,0,0,0,0,0,0,20,1
439,MIDNIGHT HOOKAH,COLUMBUS,1167 MT PLEASANT AVE,9,1,0,0,0,0,24,10,1
440,MIDWEST WELLNESS STORE,COLUMBUS,5425 BETHEL SAWMILL CTR,2,5,0,0,0,0,27,1,1
441,MIKE FOOD MART,COLUMBUS,2660 NOE BIXBY RD,12,1,0,0,0,0,7,10,0
442,MIKE'S MARKET,COLUMBUS,3327-29 MAIZE RD,6,4,3,0,1,0,7,1,0
443,MILHEM MARKET,COLUMBUS,1562 WATKINS RD,12,2,0,0,0,0,25,5,1
444,MINERVA MARKET,COLUMBUS,4951 CLEVELAND AVE,4,4,0,0,0,0,15,1,1
445,MIRACLE TRADING COMPANY,COLUMBUS,1915 TAMARACK CIR N,4,2,0,0,0,0,17,5,1
446,MK 57 VAPE,HILLIARD,2602 HILLIARD ROME RD,5,3,1,0,0,1,15,1,0
447,MOBIL FIFTH AVE,COLUMBUS,1773 E 5TH AVE,9,4,0,0,0,0,4,1,0
448,MOBIL MART,COLUMBUS,2635 W BROAD ST,10,2,1,1,0,0,12,10,0
449,MOBIL MART,COLUMBUS,2727 CLEVELAND AVE,6,2,0,0,0,0,20,5,1
450,MOBILE MART,COLUMBUS,2835 WESTERVILLE RD,6,5,1,0,0,0,23,1,1
451,MOBILE MART,COLUMBUS,830 PARSONS AVE,14,3,0,0,0,0,16,1,1
452,MORSE & CLEVELAND SHELL,COLUMBUS,4431 CLEVELAND AVE,4,4,2,0,0,0,23,1,0
453,MORSE QUICK MART,COLUMBUS,1570 MORSE RD,4,4,1,0,0,0,10,1,0
454,MOUND STREET MARKET,COLUMBUS,1690 W MOUND ST,10,0,0,0,0,0,0,20,1
455,MOUND STREET SUNOCO,COLUMBUS,1102 W MOUND ST,13,4,0,0,0,0,16,1,1
456,MOZ MOZ,COLUMBUS,2700 N HIGH ST,6,1,0,0,0,0,25,10,1
