Record ID,Name,City,Name2,Site Address,Class 1,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit,
PR0039764,NORTHLAND MARKET,COLUMBUS,REHMAT INC,4312 KARL RD,6,3,0,0,0,0,9,1,0,
PR0039616,TURKEY HILL #705,COLUMBUS,TH MIDWEST INC,1953 MORSE RD,6,3,2,0,1,0,14,1,1,
PR0039643,UNITED DAIRY FARMERS #644,COLUMBUS,UDF LIMITED PARTNERSHIP II,3728 KARL RD,6,5,0,0,0,0,32,1,1,
PR0039695,WEBER MARKET,COLUMBUS,MOODYS INC,727 E WEBER RD,6,0,0,0,0,0,26,20,1,
PR0039707,EASY MART,COLUMBUS,4366 QUICK MART LLC,4366 KARL RD,6,1,0,0,0,0,6,10,0,
PR0039413,M & M MARKET & CARRYOUT,COLUMBUS,M & M MARKET & CARRYOUT LLC,1596 OAKLAND PARK AVE,6,1,0,0,0,0,3,10,0,
PR0039468,E & E MARKET,COLUMBUS,HUDSON FOOD LLC,778 E HUDSON ST,6,3,0,0,0,0,21,1,1,
PR0039555,SPEEDWAY 9249,COLUMBUS,SPEEDWAY LLC,3974 CLEVELAND AVE,6,0,0,0,0,0,5,20,0,
PR0039399,FAMILY DOLLAR STORES #30703,COLUMBUS,FAMILY DOLLAR STORES OF OHIO LLC,1449 OAKLAND PARK AVE,6,2,0,0,0,0,16,5,1,
PR0039235,E & S MARKET,COLUMBUS,SHAFI LUDEN,1800 E HUDSON ST,6,1,1,1,0,0,31,15,1,
PR0039139,DOLLAR GENERAL #8357,COLUMBUS,DOLGEN MIDWEST LLC/OB,1237 MORSE RD,6,1,0,0,0,0,22,10,1,
PR0039102,GULF MART,COLUMBUS,AMAR MART LLC,2676 CLEVELAND AVE,6,2,0,0,0,0,5,5,0,
PR0054808,EXPRESS DRIVE THRU,COLUMBUS,1320 E HUDSON STREET LLC,1320 E HUDSON ST,6,3,0,0,0,0,2,1,0,
PR0053032,JAYA & JASMINE LLC,COLUMBUS,JAYA & JASMINE LLC,1326 OAKLAND PARK AVE,6,5,2,0,1,1,23,1,0,
PR0052688,MOBIL MART,COLUMBUS,SIMAR OHIO LLC,2727 CLEVELAND AVE,6,2,0,0,0,0,20,5,1,
PR0051967,AGLER FOOD MART,COLUMBUS,MIKES SUNOCO INC,2043 AGLER RD,6,1,0,0,0,0,29,10,1,
PR0051953,DARSHAN MART,COLUMBUS,JRI INTERNATIONAL LLC,1283 MORSE RD,6,1,1,1,0,0,14,15,1,
PR0051932,HUDSON EXPRESS CARRYOUT,COLUMBUS,EAGLE GROCERY INC,1818 E HUDSON ST,6,3,0,0,0,0,5,1,0,
PR0051847,THREE STAR FOOD MART,COLUMBUS,1107 FOOD MART LLC,1107 E WEBER RD,6,3,0,0,0,0,16,1,1,
PR0051641,3 C FOOD MART,COLUMBUS,3725 KARL ROAD FOOD MART CORPORATION,3725 KARL RD,6,4,0,0,0,0,3,1,0,
PR0051548,BEER 4 LESS,COLUMBUS,ARHON LLC,1255 MORSE RD,6,3,1,0,0,0,1,1,0,
PR0051537,SAMO MARKET,COLUMBUS,SAMO MARKET LLC,4420 WALFORD ST,6,4,2,1,1,1,2,6,0,
PR0051538,BG'S  CARRYOUT,COLUMBUS,CLINTONVILLE CARRY OUT INC,920 E WEBER RD,6,5,0,0,0,0,12,1,0,
PR0051077,WEBER ROAD MARKET,COLUMBUS,FIZ PARTNERS LLC,900 E WEBER RD,6,3,0,0,0,0,7,1,0,
PR0050307,CIRCLE A,COLUMBUS,NORTHSIDE FOOD MART INC,4432 WALFORD ST,6,2,0,0,0,0,12,5,0,
PR0049853,A AND N MARKET,COLUMBUS,FAZLEY TRADING LLC,744 E HUDSON ST,6,1,1,1,0,0,7,15,0,
PR0053981,GET GO #3517,COLUMBUS,GETGO OPERATING LLC,2920 STELZER RD,7,2,2,1,0,1,14,10,0,
PR0053894,PUFF CRAZE,COLUMBUS,ABC RETAILERS LLC,2792 STELZER RD,7,4,1,0,0,1,1,1,0,
PR0049941,CASSADY MARKET,COLUMBUS,ZOYA AND AHAD INC,2466 N CASSADY AVE,7,3,2,0,1,0,12,1,0,
PR0048500,SHEETZ #738,COLUMBUS,OHIO SPRINGS INC,1485 N CASSADY AVE,7,3,1,0,0,0,14,1,1,
PR0040763,TINDER BOX #408,COLUMBUS,S B JOYCE INC,4028 TOWNSFAIR WY,7,4,3,0,1,0,33,1,0,
PR0040168,SPEEDWAY 3323,COLUMBUS,SPEEDWAY LLC,1442 N CASSADY AVE,7,4,1,0,0,0,12,1,0,
PR0039645,UNITED DAIRY FARMERS #667,COLUMBUS,UDF LIMITED PARTNERSHIP II,4775 SUNBURY RD,7,4,0,0,0,0,4,1,0,
PR0039651,SPEEDWAY 2034,COLUMBUS,SPEEDWAY LLC,2875 STELZER RD,7,2,0,0,0,0,9,5,0,
PR0039527,GIANT EAGLE #6517,COLUMBUS,TAMARKIN CO,2900 STELZER RD,7,3,1,0,0,0,17,1,1,
PR0055433,KOSHELI MART,BLACKLICK,KOSHELI ENTERPRISE LLC,59 N WAGGONER RD,7,2,0,0,0,0,34,5,1,
PR0053980,GET GO #3513,COLUMBUS,GETGO OPERATING LLC,6825 E BROAD ST,7,5,2,0,0,0,6,1,0,
PR0052056,SHANGRILA MART,BLACKLICK,BROTHERS FOOD MART INC,7199 E BROAD ST,7,4,1,0,0,1,3,1,0,
PR0051235,KHAN SMOKE AND BEER SHOP,COLUMBUS,KHAN BROTHERS WHOLESALE AND RETAIL LLC,6044 CHANNINGWAY BLVD,7,4,1,0,0,0,34,1,1,
PR0050336,THE SPOT BAR,COLUMBUS,NJEH HOT SPOT LLC,5999 E LIVINGSTON AVE,7,3,0,0,0,0,35,1,1,
PR0048483,MYRA DISCOUNT TOBACCO,COLUMBUS,MYRA DISCOUNT TOBACCO LLC,7095 E BROAD ST STE B,7,4,1,0,0,0,7,1,0,
PR0048249,TURKEY HILL MINIT MARKETS- TURKEY HILL #600,BLACKLICK,TH MIDWEST INC,930 N WAGGONER RD,7,4,2,0,1,0,22,1,1,
PR0048131,FINNIGANS DRIVE THRU,REYNOLDSBURG,S & R ENTERPRISE INC,2679 INDEPENDENCE VILLAGE CTR,7,3,1,0,0,1,21,1,0,
PR0048063,SHEETZ #714,REYNOLDSBURG,OHIO SPRINGS INC,2700 BRICE RD,7,2,0,0,0,0,6,5,0,
PR0046032,WAGGONER FOOD MART,BLACKLICK,POUDEL BROTHERS PETROLEUM LLC,7700 KENNEDY RD,7,2,0,0,0,0,26,5,1,
PR0043983,OUTLET SMOKE SHOP,COLUMBUS,SUZAN09 INC,6091 MCNAUGHTEN CTR,7,3,0,0,0,0,18,1,1,
PR0043948,LK GROCERY LLC / LK NEPALI BAZAAR,BLACKLICK,LK GROCERY  LLC,988-992 N WAGGONER RD,7,2,0,0,0,0,13,5,0,
PR0042879,BRICE PARK SMOKE SHOP AND CARRYOUT,COLUMBUS,BP CARRYOUT LLC,6351 TUSSING RD,7,5,0,0,0,0,11,1,0,
PR0041148,KROGER FUEL CENTER #853,COLUMBUS,KROGER CO,77 N REYNOLDSBURG NEW ALBANY RD,7,1,1,1,0,0,31,15,1,
PR0040110,DUCHESS #1610/E  BROAD & NEW ALBANY RD,COLUMBUS,ENGLEFIELD INC,7040 E BROAD ST,7,1,1,1,0,0,32,15,1,
PR0040087,DOLLAR GENERAL STORE #17278,COLUMBUS,DOLGEN MIDWEST LLC/OB,5950 E LIVINGSTON AVE,7,3,1,0,0,0,16,1,1,
PR0039615,KROGER #853,COLUMBUS,KROGER CO,7000 E BROAD ST,7,4,1,0,0,0,8,1,0,
PR0039648,SPEEDWAY 9270,REYNOLDSBURG,SPEEDWAY LLC,2775 BRICE RD,7,5,0,0,0,0,10,1,0,
PR0039660,UNITED DAIRY FARMERS #654,REYNOLDSBURG,UDF LIMITED PARTNERSHIP II,6525 TUSSING RD,7,1,1,1,0,0,32,15,1,
PR0039682,WALGREENS #10050,COLUMBUS,WALGREEN CO,6201 E BROAD ST,7,3,3,1,1,0,16,6,0,
PR0039683,WALGREENS  #06119,BLACKLICK,WALGREEN CO,7900 E BROAD ST,7,1,0,0,0,0,35,10,1,
PR0039402,MEIJER GAS #212,REYNOLDSBURG,MEIJER STORES LTD PARTNERSHIP,7930 E BROAD ST,7,4,2,0,1,0,5,1,0,
PR0039440,DUCHESS TUSSING & BRICE #1617,REYNOLDSBURG,ENGLEFIELD INC,6310 TUSSING RD,7,4,1,1,0,0,28,6,1,
PR0039479,FAMILY DOLLAR #28449,REYNOLDSBURG,FAMILY DOLLAR STORES OF OHIO LLC,2746 BRICE RD,7,4,0,0,0,0,13,1,0,
PR0039515,SPEEDWAY 1216,COLUMBUS,SPEEDWAY LLC,6175 E LIVINGSTON AVE,7,2,0,0,0,0,28,5,1,
PR0039520,SPEEDWAY 9263,COLUMBUS,SPEEDWAY LLC,6425 E BROAD ST,7,4,1,0,0,0,34,1,1,
PR0039525,SPEEDWAY 4275,BLACKLICK,SPEEDWAY LLC,7860 E BROAD ST,7,2,0,0,0,0,9,5,0,
PR0039541,TRUE NORTH STORE #605,COLUMBUS,TRUE NORTH ENERGY LLC,5989 E MAIN ST,7,3,1,1,0,0,15,6,1,
PR0039319,GIANT EAGLE #6513,COLUMBUS,TAMARKIN CO,6867 E BROAD ST,7,4,0,0,0,0,30,1,1,
PR0055262,CULEBRA CIGARS COMPANY,COLUMBUS,ERZEN LLC,1786 W 5TH AVE,8,4,1,0,0,0,35,1,1,
PR0054961,GRAB N GO MARKET,COLUMBUS,GRAB N GO MARKET LLC,955 W 5TH AVE STE F,8,4,0,0,0,0,28,1,1,
PR0054782,DASHMART,COLUMBUS,DOORDASH ESSENTIALS LLC,1530 GERRARD AVE,8,4,2,0,1,0,10,1,0,
PR0053978,GET GO #3539,COLUMBUS,GETGO OPERATING LLC,820 W 3RD AVE,8,1,0,0,0,0,5,10,0,
PR0052055,GRANDVIEW BOTTLE SHOP,COLUMBUS,GRANDVIEW BOTTLE SHOP LLC,1761 W 5TH AVE,8,1,0,0,0,0,10,10,0,
PR0050699,SMOKE SHOP 1,COLUMBUS,GRANDVIEW STOP LLC,1597 W 5TH AVE,8,5,0,0,0,0,19,1,1,
PR0047395,SUNOCO,COLUMBUS,KING FUEL MANAGEMENT LLC,993 KING AVE,8,5,1,0,0,1,12,1,0,
PR0045469,UNITED DAIRY FARMERS #670,COLUMBUS,UDF LIMITED PARTNERSHIP I,1188 N WILSON RD,8,3,1,0,0,0,27,1,1,
PR0041318,DRIVE THRU 1,COLUMBUS,DRIVE THRU 1 LLC,1201 N WILSON RD,8,5,0,0,0,0,16,1,1,
PR0041317,LION'S DEN - GRANDVIEW RETAIL 58 LLC,COLUMBUS,GRANDVIEW RETAIL 58 LLC,1055 W FIFTH AVE,8,4,1,0,0,0,3,1,0,
PR0041031,BOULEVARD CARRY OUT,COLUMBUS,1290 WEST THIRD AVE INC,1288-90 W 3RD AVE,8,0,0,0,0,0,0,20,1,
PR0040673,GRANDVIEW CARRYOUT,COLUMBUS,14-0 GRANVIEW LLC,1355 GRANDVIEW AVE,8,1,0,0,0,0,18,10,1,
PR0040438,KROGER FUEL CENTER #942,COLUMBUS,KROGER CO,1765 NORTHWEST BLVD,8,2,0,0,0,0,16,5,1,
PR0039852,GRANDVIEW SUNOCO,COLUMBUS,SK GRANDVIEW LLC,648 GRANDVIEW AVE,8,4,1,0,0,1,27,1,0,
PR0039799,QUARRY MARKET,COLUMBUS,QUARRY FOOD LLC,2954 MCKINLEY AVE,8,5,3,0,1,0,11,1,0,
PR0039579,KROGER #942,COLUMBUS,KROGER CO,1375 CHAMBERS RD,8,3,0,0,0,0,3,1,0,
PR0039600,TRABUE FOOD MART,COLUMBUS,KADOLI LLC,4111 TRABUE RD,8,1,0,0,0,0,19,10,1,
PR0039636,SPEEDWAY 9371,COLUMBUS,SPEEDWAY LLC,1626 W 5TH AVE,8,0,0,0,0,0,2,20,0,
PR0039652,WALGREENS #12083,COLUMBUS,WALGREEN CO,1444 W 5TH AVE,8,1,0,0,0,0,17,10,1,
PR0039404,MEISTER'S BAR,COLUMBUS,PLATA O PLOMO LLC,1168 CHAMBERS RD,8,3,1,0,0,1,25,1,0,
PR0039419,NORTHWEST CARRYOUT,COLUMBUS,VIRAJ INC,1281 W 5TH AVE,8,1,0,0,0,0,15,10,1,
PR0039522,SPEEDWAY 6202,COLUMBUS,SPEEDWAY LLC,744 W 5TH AVE,8,2,0,0,0,0,10,5,0,
PR0039327,GIANT EAGLE #6539,COLUMBUS,TAMARKIN CO,840 W 3RD AVE,8,2,1,0,0,0,33,5,1,
PR0039266,DUCHESS DUBLIN & GRANDVIEW #1616,COLUMBUS,ENGLEFIELD INC,1090 DUBLIN RD,8,3,1,0,0,0,5,1,0,
PR0039272,DUCHESS OLENTANGY & 5TH #1612,COLUMBUS,ENGLEFIELD INC,1347 OLENTANGY RIVER RD,8,3,1,0,0,0,26,1,1,
PR0039119,CIRCLE K #4705269,COLUMBUS,MAC'S CONVENIENCE STORES LLC,3749 TWIN CREEKS DR,8,3,0,0,0,0,8,1,0,
PR0039074,CIRCLE K #4705698,COLUMBUS,MAC'S CONVENIENCE STORES LLC,1574 KENNY RD,8,2,1,0,0,0,35,5,1,
PR0054935,SNAG DELIVERY RETAIL STORE (OSU),COLUMBUS,SNAGIT LLC,1882 N HIGH ST,8,4,0,0,0,0,15,1,1,
PR0053871,BUCKEYE ONE STOP SHOP,COLUMBUS,2222 SUMMIT GROCERY LLC,2222 SUMMIT ST,8,4,0,0,0,0,29,1,1,
PR0053600,TOBACCO FOR LESS,COLUMBUS,ZEENA INC,2410 N HIGH ST,8,1,0,0,0,0,24,10,1,
PR0053498,LAYLA'S SMOKE SHOP,COLUMBUS,2498 SUMMIT INC,2498 SUMMIT ST,8,2,2,1,1,0,2,10,0,
PR0053320,HOOKAH RUSH,COLUMBUS,HIGH STANDARD SHISHA LLC,2394 N HIGH ST,8,5,0,0,0,0,8,1,0,
PR0052625,MAYA CAFE & HOOKAH,COLUMBUS,MG HOSPITALITY GROUP LLC,2367-69 N HIGH ST,8,1,0,0,0,0,12,10,0,
PR0052355,SMOKE 614,COLUMBUS,614 SMOKE LLC,2465 N HIGH ST,8,2,1,0,0,1,5,5,0,
PR0052172,A & A MINI MART,COLUMBUS,A & A MINI MART LLC,445 E 17TH AVE,8,5,1,0,0,0,21,1,1,
PR0051492,SUNOCO GAS,COLUMBUS,M&T 2570 N HIGH LLC,2570 N HIGH ST,8,5,3,0,1,1,19,1,0,
PR0051487,HEDZ UP ON HUDSON,COLUMBUS,4608 NORTH 4TH PROPERTIES LLC,459 E HUDSON ST,8,3,0,0,0,0,35,1,1,
PR0049740,WALGREENS #21398,COLUMBUS,WALGREEN CO,1782 N HIGH ST,8,2,1,0,0,0,31,5,1,
PR0047396,NORTH CAMPUS FOOD MART,COLUMBUS,VICTOR & ADAM INC,2424 N HIGH ST,8,1,1,1,0,0,30,15,1,
PR0042985,SOUSSY MARKET,COLUMBUS,SOUSSY CARRYOUT INC,1950 N 4TH ST UNIT M,8,1,0,0,0,0,1,10,0,
PR0041208,STAR CARRY OUT,COLUMBUS,SAVITA INC,1565 N 4TH ST,8,1,0,0,0,0,2,10,0,
PR0040683,SMOKE ZONE SMOKE SHOP,COLUMBUS,CARPENTER NOVELTIES - OHIO INC,4 E 13TH AVE,8,5,1,0,0,0,5,1,0,
PR0040613,BEDS 'N' STUFF,COLUMBUS,WATERBEDS 'N' STUFF INC,2194 N HIGH ST,8,4,0,0,0,0,2,1,0,
PR0040061,TOBACCO INTERNATIONAL,COLUMBUS,AFI TOBACCO LLC,18 E 13TH AVE,8,1,0,0,0,0,9,10,0,
PR0039601,UNITED DAIRY FARMERS #634,COLUMBUS,UDF LIMITED PARTNERSHIP II,1680 N HIGH ST,8,2,1,0,0,1,20,5,0,
PR0039609,UNITED DAIRY FARMERS #628,COLUMBUS,UDF LIMITED PARTNERSHIP II,2094 N HIGH ST,8,4,1,1,0,0,10,6,0,
