Facility ID,Name,Site Address,City
291,HAPPY MARKET,1427 S HAMILTON RD,COLUMBUS
292,HARRISBURG PIKE SUNOCO,1305 HARRISBURG PIKE,COLUMBUS
293,HASEEB PETROLEUM,3933 SULLIVANT AVE,COLUMBUS
294,HEADIES HIDEOUT,114 PARSONS AVE,COLUMBUS
295,HEDZ UP ON HUDSON,459 E HUDSON ST,COLUMBUS
296,HENDERSON RD SUNOCO 12,2122 W HENDERSON RD,COLUMBUS
297,HERBERT MARKET,1121 SULLIVANT AVE,COLUMBUS
298,HIGH LIFE VAPOR SMOKING,1178 N HIGH ST,COLUMBUS
299,HIGHLAND GROCERY MART,2538 MORSE RD,COLUMBUS
300,HIPPIE HUT SMOKE SHOP,1551 N HIGH ST,COLUMBUS
301,HOLLYWOOD CASINO,200 GEORGESVILLE RD,COLUMBUS
302,HOLLYWOOD CASINO,200 GEORGESVILLE RD,COLUMBUS
303,HOLLYWOOD CASINO,200 GEORGESVILLE RD,COLUMBUS
304,HOLLYWOOD SMOKE AND VAPE,3951 W BROAD ST,COLUMBUS
305,HOME MARKET,2386 GROVEPORT RD,COLUMBUS
306,HONEY BEE DRIVE THRU,1600 S HIGH ST,COLUMBUS
307,HOOKAH RUSH,2394 N HIGH ST,COLUMBUS
308,HOUSE OF CIGAR,7099 HUNTLEY RD,COLUMBUS
309,HOUSE OF MONTECRISTO,1209 N HIGH ST,COLUMBUS
310,HUDSON EXPRESS CARRYOUT,1818 E HUDSON ST,COLUMBUS
311,HUDSON MARKET,1080 E HUDSON ST,COLUMBUS
312,HUMBLE HEALTH,4430 WESTERVILLE RD,COLUMBUS
313,HUMIDOR PLUS,6157 CLEVELAND AVE,COLUMBUS
314,HYDES MARKET,1414 MORSE RD,COLUMBUS
315,IMAGE GROCERY,4669 MORSE CENTRE RD,COLUMBUS
316,INDRENI MART GROCERY,1565 E DUBLIN GRANVILLE RD,COLUMBUS
